3oe6emk6tz7r10ic6xk_0086,0.8620689655172413,25,29	0.14477,-0.08121,0.05183,0.40326,0.92256,-0.18911,0.52406,0.22706,0.14222,0.1233,86.88849,285.81981,71.97108,288.43683,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.86206,0,0,25.06132,-0.94,0.17171,0.0,0.0,1.0,0.0,0.0,0.0
15m94lgjhvpiayemnsyu_0000,0.7857142857142857,22,28	0.14477,-0.08121,0.18404,0.77737,0.44234,-0.62672,0.36079,0.11363,0.097,0.09379,78.25885,287.94064,107.17034,297.83858,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.78571,0,0,16.35009,-0.18,0.15262,0.0,1.0,1.0,1.0,0.0,0.0
lbo15g3avwbjfv8jw9x_0005,0.7857142857142857,22,28	0.14477,-0.08121,0.08467,0.38743,0.75335,1.00226,0.46139,0.27419,0.11852,0.11116,97.32753,286.40477,291.02778,74.648,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.78571,0,0,18.72025,-0.06,0.17019,0.0,1.0,0.0,0.0,0.0,0.0
33f9xo0sud123fcen6a_0001,0.7586206896551724,22,29	0.14477,-0.08121,-0.01462,-0.16718,0.99093,0.00318,0.37369,0.29529,0.13152,0.09703,83.77434,272.38295,61.98167,283.50503,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.75862,0,0,43.05788,-0.98,0.112,0.0,0.0,1.0,1.0,0.0,0.0
uojeok1zshu0vw34wy6_0002,0.75,21,28	0.14477,-0.08121,0.38573,0.41255,0.64546,0.12551,0.3685,0.30929,0.14241,0.11579,91.70788,283.02633,74.13139,287.6507,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0,6.37294,-1.32,0.32677,0.0,0.0,0.0,0.0,0.0,0.0
3a6npda923yip6bukgx_0018,0.7241379310344828,21,29	0.14477,-0.08121,0.02121,0.77592,0.78866,0.12437,0.37552,0.30907,0.12657,0.11228,86.16924,270.27996,110.75661,250.19026,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.72413,0,0,21.53371,-0.02,0.1619,0.0,0.0,1.0,0.0,0.0,0.0
32m6wvey69mkdtbf897_0005,0.7142857142857143,20,28	0.14477,-0.08121,-0.12185,0.44786,0.37667,0.34975,0.25506,0.19451,0.0943,0.07058,83.375,-86.6875,309.68944,259.37888,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.71428,0,0,12.34862,-1.98,0.1894,0.0,1.0,0.0,0.0,0.0,0.0
t1nl98f47j4f0tdpq84_0041,0.7037037037037037,19,27	0.14477,-0.08121,0.07213,0.15665,0.74049,-0.41937,0.2331,0.31722,0.11884,0.10836,86.67677,284.24208,64.88997,279.08977,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.70370,0,0,19.11494,-1.2,0.181,0.0,0.0,0.0,0.0,0.0,0.0
3oe6emk6tz7r10ic6xk_0134,0.6551724137931034,19,29	0.14477,-0.08121,0.20149,0.67222,0.49504,-0.41648,0.51136,0.17459,0.11467,0.12413,95.14665,273.03879,57.74671,285.43918,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.65517,0,0,10.55755,-1.72,0.23323,0.0,0.0,1.0,0.0,0.0,0.0
13nmodelotpbzgmazi5m_0012,0.6428571428571429,18,28	0.14477,-0.08121,-0.00369,0.66725,0.40896,0.65331,0.40228,0.2181,0.11917,0.07522,95.5625,-72.7,71.55279,291.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.64285,0,0,49.68171,-1.1,0.10994,0.0,1.0,1.0,1.0,0.0,0.0
dvt1zpu6t5ck90fj6cl_0003,0.6428571428571429,18,28	0.14477,-0.08121,0.02007,0.82682,0.70443,-0.3247,0.31539,0.30692,0.1313,0.10925,78.24434,278.47186,65.99567,282.13485,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.64285,0,0,22.22114,-0.06,0.15451,0.0,0.0,0.0,0.0,0.0,0.0
3w1yv2rc1bw6yyzvgd1_0002,0.6428571428571429,18,28	0.14477,-0.08121,0.03323,0.31417,0.61882,0.30063,0.45479,0.12079,0.11162,0.04947,95.9375,-68.5,254.90683,102.85714,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.64285,0,0,26.69708,-0.08,0.16742,0.0,1.0,1.0,1.0,0.0,0.0
41720oyjfjj18x99ay_0001,0.6296296296296297,17,27	0.14477,-0.08121,-0.21514,0.28746,1.0591,0.3819,0.47508,0.31034,0.14582,0.09837,97.49825,269.7622,300.59083,253.5099,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62962,0,0,13.36481,-3.09999,0.18754,0.0,0.0,0.0,0.0,0.0,0.0
13nmodelotpbzgmazi5m_0031,0.6296296296296297,17,27	0.14477,-0.08121,-0.00369,0.78209,0.41703,0.65331,0.4298,0.20282,0.10718,0.09274,95.5625,-82.75,71.55279,281.73913,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62962,0,0,45.65524,-0.14,0.11178,0.0,1.0,1.0,0.0,0.0,0.0
3ox07070suba7w0642p_0027,0.6071428571428571,17,28	0.14477,-0.08121,0.12111,0.5245,0.70698,0.2222,0.20625,0.17327,0.14608,0.11431,84.20825,269.41613,294.12263,289.1077,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.60714,0,0,9.06533,-3.41999,0.19807,0.0,0.0,1.0,0.0,0.0,0.0
kkyo7pv1ybqzm3wrhrn_0001,0.5925925925925926,16,27	0.14477,-0.08121,-0.10475,-0.17441,0.58195,-0.21056,0.29782,0.16294,0.12005,0.08747,94.44985,279.54751,120.21728,71.56469,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.59259,0,0,58.99492,-1.28,0.08092,0.0,0.0,0.0,0.0,0.0,0.0
2vpdsaoqaffc7as60uu_0001,0.5925925925925926,16,27	0.14477,-0.08121,0.26422,-0.01436,0.5729,0.20163,0.42508,0.29844,0.13476,0.09603,89.32768,269.75061,63.44857,297.49918,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.59259,0,0,41.78438,-0.9,0.11204,0.0,0.0,1.0,2.0,0.0,0.0
3aehnc59opll1ezckbf_0005,0.5769230769230769,15,26	0.14477,-0.08121,0.06664,0.65775,0.67128,0.46847,0.29201,0.20329,0.12817,0.11512,91.67791,275.55187,289.72224,285.16283,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.57692,0,0,17.29441,-0.08,0.15593,0.0,0.0,0.0,0.0,0.0,0.0
13nmodelotpbzgmazi5m_0010,0.5714285714285714,16,28	0.14477,-0.08121,-0.00369,0.78209,0.41703,0.65331,0.4298,0.20282,0.11651,0.09133,95.0,-82.75,58.13664,281.73913,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.57142,0,0,45.65524,-0.14,0.11178,0.0,1.0,1.0,1.0,0.0,0.0
3jcv3q5fpsk6mcnr2b3_0026,0.5714285714285714,16,28	0.14477,-0.08121,-0.09486,0.60226,0.89901,0.24943,0.36598,0.18777,0.12846,0.12047,81.79072,281.85038,114.04279,292.58304,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.57142,0,0,13.54461,-0.04,0.17677,0.0,1.0,0.0,0.0,0.0,0.0
t1nl98f47j4f0tdpq84_0005,0.5714285714285714,16,28	0.14477,-0.08121,0.09638,0.56864,0.69433,-0.40593,0.46377,0.23651,0.14164,0.11943,82.40401,275.31213,58.68024,244.70152,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.57142,0,0,24.25598,-0.14,0.16837,0.0,0.0,1.0,1.0,0.0,0.0
13nmodelotpbzgmazi5m_0044,0.5555555555555556,15,27	0.14477,-0.08121,-0.00369,0.66725,0.40896,0.65331,0.40228,0.2181,0.11917,0.07522,98.9,-68.2,82.8,291.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.55555,0,0,49.68171,-1.1,0.10994,0.0,1.0,1.0,0.0,0.0,0.0
y4nvwn37x63wp1nltil_0000,0.5555555555555556,15,27	0.14477,-0.08121,0.07972,0.58555,0.80451,-0.56482,0.2579,0.27412,0.14082,0.09586,93.55644,278.64895,69.14906,287.50788,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.55555,0,0,15.79972,0.0,0.18336,0.0,0.0,1.0,2.0,0.0,0.0
13nmodelotpbzgmazi5m_0030,0.5517241379310345,16,29	0.14477,-0.08121,-0.00369,0.78209,0.41703,0.65331,0.4298,0.20282,0.10718,0.09274,95.0,-82.75,58.13664,281.73913,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.55172,0,0,45.65524,-0.14,0.11178,0.0,1.0,1.0,0.0,0.0,0.0
b20hhwhhlltabynywgu_0001,0.5517241379310345,16,29	0.14477,-0.08121,0.23671,0.13575,0.3188,-0.71586,0.22261,0.29959,0.15296,0.09661,93.07556,277.46568,69.83098,104.34991,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.55172,0,0,44.17342,-2.23999,0.10131,0.0,0.0,0.0,1.0,0.0,0.0
3oe6emk6tz7r10ic6xk_0029,0.5357142857142857,15,28	0.14477,-0.08121,0.24196,0.92473,0.28836,0.11056,0.16522,0.29589,0.14852,0.12436,86.877,276.51275,61.66923,247.30633,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.53571,0,0,7.97863,-0.2,0.23049,0.0,0.0,1.0,1.0,0.0,0.0
y4nvwn37x63wp1nltil_0010,0.5357142857142857,15,28	0.14477,-0.08121,0.19418,0.36238,0.81222,-0.56482,0.36864,0.1257,0.13726,0.08857,84.5523,283.93331,75.26155,70.33325,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.53571,0,0,8.47406,-0.04,0.25306,0.0,0.0,1.0,1.0,0.0,0.0
40w6ksrd99z8cw6day8_0002,0.5357142857142857,15,28	0.14477,-0.08121,0.00369,-0.26069,0.88787,0.55236,0.34204,0.26192,0.11562,0.09379,95.375,-78.25,22.36024,118.50931,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.53571,0,0,51.14323,-1.02,0.09792,0.0,1.0,1.0,1.0,0.0,0.0
upz9o7tk5bj6yukhw6i_0000,0.5357142857142857,15,28	0.14477,-0.08121,0.21809,-0.73682,-0.13087,0.9744,0.36337,0.30074,0.11442,0.12017,84.3766,275.21362,250.90207,77.34546,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.53571,0,0,57.9757,-1.38,0.08618,0.0,0.0,0.0,0.0,0.0,0.0
3jcv3q5fpsk6mcnr2b3_0027,0.5185185185185185,14,27	0.14477,-0.08121,0.13079,0.10762,0.66725,0.24943,0.32967,0.19788,0.12586,0.09476,80.75482,286.47489,72.05421,247.33441,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.51851,0,0,23.83039,-0.82,0.16084,0.0,1.0,0.0,0.0,0.0,0.0
y4nvwn37x63wp1nltil_0048,0.5172413793103449,15,29	0.14477,-0.08121,-0.06246,0.74494,0.5587,-0.29095,0.32563,0.17642,0.12936,0.12521,83.39135,276.39586,285.04917,252.29922,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.51724,0,0,21.38097,-0.1,0.15306,0.0,0.0,1.0,0.0,0.0,0.0
y4nvwn37x63wp1nltil_0055,0.5172413793103449,15,29	0.14477,-0.08121,0.02489,0.87385,0.69009,-0.13026,0.4531,0.35079,0.1232,0.11495,78.96733,286.51754,76.26333,293.35408,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.51724,0,0,27.36212,-0.06,0.14532,0.0,0.0,1.0,0.0,0.0,0.0
13nmodelotpbzgmazi5m_0039,0.5,14,28	0.14477,-0.08121,-0.00369,0.66725,0.40896,0.65331,0.41784,0.21473,0.1156,0.09041,95.5625,-86.8,71.55279,284.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,51.08049,-0.18,0.10908,0.0,1.0,1.0,0.0,0.0,0.0
3oe6emk6tz7r10ic6xk_0107,0.5,14,28	0.14477,-0.08121,0.20051,-0.18919,0.71043,-0.44404,0.26822,0.29875,0.13759,0.11857,96.6995,271.15768,73.08391,291.90593,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,39.98966,-1.46,0.10251,0.0,0.0,1.0,0.0,0.0,0.0
13nmodelotpbzgmazi5m_0004,0.4827586206896552,14,29	0.14477,-0.08121,-0.00369,0.66725,0.40896,0.65331,0.41784,0.21473,0.1156,0.07972,95.5625,-72.7,71.55279,291.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.48275,0,0,51.08049,-0.18,0.10908,0.0,1.0,1.0,2.0,0.0,0.0
iifjll5xchtcgk46xmu_0000,0.4827586206896552,14,29	0.14477,-0.08121,0.13286,0.83993,1.04235,-0.10455,0.54166,0.09186,0.14971,0.11654,94.44415,284.53431,105.1624,288.75355,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.48275,0,0,10.52292,0.0,0.21156,0.0,0.0,0.0,0.0,0.0,0.0
3a6npda923yip6bukgx_0001,0.4827586206896552,14,29	0.14477,-0.08121,0.22018,0.87911,0.35572,0.33539,0.40564,0.29059,0.13336,0.09164,80.62348,280.18388,61.66307,249.05365,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.48275,0,0,14.39612,-0.24,0.2049,0.0,0.0,1.0,2.0,0.0,0.0
10weqzhghy8pmez5yvb3_0001,0.48148148148148145,13,27	0.14477,-0.08121,0.39623,0.1111,-0.36806,6.26015,0.5455,0.12523,0.12091,0.11334,89.14474,278.37596,295.58663,115.87188,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.48148,0,0,11.17339,-2.83999,0.20135,0.0,0.0,0.0,0.0,0.0,0.0
t1nl98f47j4f0tdpq84_0035,0.48148148148148145,13,27	0.14477,-0.08121,0.06556,0.51177,0.86248,1.01688,0.52794,0.33097,0.14592,0.12111,89.20267,273.88483,57.51066,256.33858,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.48148,0,0,23.0537,-0.04,0.16814,0.0,0.0,1.0,0.0,0.0,0.0
13nmodelotpbzgmazi5m_0043,0.4642857142857143,13,28	0.14477,-0.08121,-0.00369,0.66725,0.40896,0.65331,0.40228,0.2181,0.11917,0.07522,98.9,-72.7,82.8,291.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.46428,0,0,49.68171,-1.1,0.10994,0.0,1.0,1.0,0.0,0.0,0.0
3oe6emk6tz7r10ic6xk_0002,0.4642857142857143,13,28	0.14477,-0.08121,0.11119,-0.10014,0.66694,0.20308,0.24715,0.17723,0.14118,0.0994,91.31699,282.88162,284.35035,245.28582,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.46428,0,0,14.99112,-1.36,0.18891,0.0,0.0,1.0,3.0,0.0,0.0
3oe6emk6tz7r10ic6xk_0010,0.4642857142857143,13,28	0.14477,-0.08121,-0.26787,0.32153,0.07197,0.20308,0.27143,0.35192,0.13582,0.1084,89.53314,286.7231,294.33648,285.11931,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.46428,0,0,17.22069,-1.42,0.17125,0.0,0.0,1.0,2.0,0.0,0.0
y4nvwn37x63wp1nltil_0049,0.4642857142857143,13,28	0.14477,-0.08121,0.13878,0.53276,0.83076,-0.29095,0.43099,0.15223,0.14005,0.10157,89.63271,286.19226,60.95326,68.92616,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.46428,0,0,12.63046,0.0,0.21621,0.0,0.0,1.0,0.0,0.0,0.0
40w6ksrd99z8cw6day8_0001,0.4642857142857143,13,28	0.14477,-0.08121,-0.04809,0.00241,0.98579,0.55236,0.54829,0.05036,0.11588,0.12103,82.6557,283.60565,238.38259,244.88792,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.46428,0,0,27.98744,-4.55999,0.13037,0.0,0.0,1.0,1.0,0.0,0.0
