2a6ticg0tt2vhfnoe9g_0006,0.75,27,36	-1.1109,1.42179,1.83622,-0.21681,0.16226,-0.16723,0.28431,0.24722,0.43073,0.39131,46.71265,312.66855,306.45659,65.7798,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0,13.26839,-3.73999,0.15356,0.0,0.0,1.0,0.0,0.0,0.0
8sru6clf896h2dc5n3_0003,0.7297297297297297,27,37	-1.1109,1.42179,0.41899,-0.90664,0.79798,-0.15529,0.03498,0.27985,0.45935,0.42143,50.2897,304.02636,293.12283,238.40106,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.72972,0,0,0.57663,-1.36,0.61286,0.0,0.0,1.0,0.0,0.0,0.0
c4v1cln43hdoy4fqley_0001,0.7222222222222222,26,36	-1.1109,1.42179,1.31993,-0.88231,0.97274,0.1796,0.07314,0.32587,0.46427,0.38802,39.08516,301.28009,287.96503,294.50932,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.72222,0,0,0.35802,-1.48,0.84614,0.0,1.0,1.0,2.0,0.0,0.0
c4v1cln43hdoy4fqley_0000,0.6944444444444444,25,36	-1.1109,1.42179,2.42316,-0.6061,0.52497,0.1796,0.02285,0.33397,0.41645,0.40619,57.66252,311.48406,288.31738,239.72272,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.69444,0,0,0.16104,-2.99999,1.42555,0.0,1.0,1.0,2.0,0.0,0.0
7n1fsyuj05zqgi3wdt2_0039,0.6842105263157895,26,38	-1.1109,1.42179,1.25581,-0.5227,0.61651,0.15712,0.03439,0.20871,0.44933,0.38482,51.31988,309.31188,306.97168,117.56303,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.68421,0,0,0.55493,-2.29999,0.62731,0.0,0.0,1.0,0.0,0.0,0.0
16f3tu6vm2jyb5ar70b_0000,0.6601941747572816,68,103	-1.1109,1.42179,1.69164,-0.49869,0.50953,0.08717,0.016,0.3198,0.33392,0.38043,51.18749,-35.0,295.15527,249.31677,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.66019,0,0,0.31636,-2.83999,1.01393,0.0,1.0,0.0,0.0,0.0,0.0
7n1fsyuj05zqgi3wdt2_0011,0.6346153846153846,66,104	-1.1109,1.42179,1.66429,-0.2354,0.14201,-0.239,0.26049,0.33212,0.41808,0.41753,50.47935,305.96153,295.14292,303.59992,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.63461,0,0,2.74777,-3.97999,0.38594,0.0,0.0,1.0,1.0,0.0,0.0
oeeje793lvv5qzvrjyb_0008,0.6285714285714286,22,35	-1.1109,1.42179,-1.95297,-0.39995,-0.20663,-0.17151,0.2455,0.29146,0.42921,0.43029,45.06495,306.77889,64.46475,64.27554,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62857,0,0,0.20393,-6.78,1.99539,0.0,0.0,1.0,0.0,0.0,0.0
9xayeue7e1g6igqu2f_0023,0.6216216216216216,23,37	-1.1109,1.42179,2.41964,-0.04898,0.38298,0.12474,0.22518,0.16792,0.47072,0.41366,53.02611,304.90722,61.72749,57.37748,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62162,0,0,0.16807,-8.44,2.14488,0.0,0.0,1.0,0.0,0.0,0.0
l0rp7zf9z744jwgrh1_0002,0.6216216216216216,23,37	-1.1109,1.42179,0.96532,-0.59076,0.57129,0.17597,0.03885,0.21855,0.45803,0.30981,48.18749,-36.3125,297.3913,306.3354,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62162,0,0,0.48598,-2.13999,0.69693,0.0,1.0,1.0,1.0,0.0,0.0
