hst_Arp_273 0 1 0.9629629629629629 -0.10257,-4.89429,-0.45646,-0.25191,-0.99373,-0.80271,0.70144,0.35002,2.86951,2.36963,95.61553,-46.0,233.87594,82.8,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.96296,0,0,0.44674,-4.03999,1.20341,0.0,1.0,1.0,0.0,0.0,0.0
hst_Arp_273 0 2 0.9629629629629629 -0.10257,-4.89429,0.80698,0.36665,-0.31305,0.02902,1.46665,0.38064,2.83236,1.79582,86.35739,-52.68789,226.24208,108.23529,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.96296,0,0,0.79091,-7.74,1.18724,0.0,1.0,0.0,0.0,0.0,0.0
hst_Arp_273 0 3 0.8928571428571429 -0.10257,-4.89429,-0.34265,0.19924,-0.42691,0.29319,1.26321,0.19476,3.2237,2.29781,85.62056,294.12115,297.91207,262.85603,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.89285,0,0,0.76882,-7.14,1.11204,0.0,1.0,0.0,0.0,0.0,0.0
588017702948962343 0 1 0.8 0.77539,-1.76333,-2.70998,-1.95662,0.47284,-0.23787,11.02648,0.20856,0.90942,0.7809,86.28424,327.05065,132.95116,212.2362,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0.51091,-18.11999,3.20352,0.0,0.0,1.0,2.0,0.0,0.0
588017702948962343 0 2 0.7142857142857143 0.77539,-1.76333,-1.54058,-0.43131,-0.13705,-0.42135,6.77659,0.83045,0.8722,0.34832,87.625,-15.3125,313.04347,160.99378,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.71428,0,0,18.90775,-1.52,0.27205,0.0,1.0,1.0,0.0,0.0,0.0
588017702948962343 0 3 0.7027027027027027 0.77539,-1.76333,-2.82238,-0.08233,-0.53068,-0.77332,5.3683,0.57811,0.51173,0.39148,89.34058,332.21544,241.39233,138.88598,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.70270,0,0,20.09015,-2.23999,0.24101,0.0,0.0,1.0,0.0,0.0,0.0
587722984435351614 0 1 0.9459459459459459 -9.93853,-4.5805,3.27377,-0.50008,-2.45565,-1.07799,23.33004,24.69427,3.49825,5.32056,309.6923,36.8125,41.78471,51.42857,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.94594,0,0,0.18901,-22.47999,9.02372,0.0,1.0,0.0,0.0,0.0,0.0
587722984435351614 0 2 0.9411764705882353 -9.93853,-4.5805,20.84411,-1.74126,-2.7698,6.11683,27.02299,23.08542,3.49716,4.74238,299.83308,24.48166,45.94874,302.74563,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.94117,0,0,0.21251,-3.49999,5.5938,0.0,0.0,1.0,1.0,0.0,0.0
587722984435351614 0 3 0.918918918918919 -9.93853,-4.5805,18.86315,-1.46024,-2.49591,5.98258,24.1574,24.69427,2.76867,4.70207,295.5625,19.5867,319.75155,310.28396,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.91891,0,0,0.21861,-2.89999,5.22648,0.0,1.0,1.0,0.0,0.0,0.0
hst_Arp_CGCG 0 1 0.8214285714285714 1.46799,-1.90751,-1.06473,0.07554,-0.38851,-0.60193,0.61882,0.16625,0.77494,0.88675,72.6875,118.0,116.27329,245.96273,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.82142,0,0,0.93128,-3.23999,0.79599,0.0,1.0,0.0,0.0,0.0,0.0
