tauqgxq1so8g52q8v9_0013,0.8214285714285714,23,28	1.46799,-1.90751,-1.06473,0.07554,-0.38851,-0.60193,0.61882,0.16625,0.77494,0.88675,72.6875,118.0,116.27329,245.96273,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.82142,0,0,0.93128,-3.23999,0.79599,0.0,1.0,0.0,0.0,0.0,0.0
tauqgxq1so8g52q8v9_0016,0.75,21,28	1.46799,-1.90751,-0.55072,0.07554,-0.38851,-0.60193,0.61882,0.16625,0.77494,0.88675,72.6875,118.0,116.27329,245.96273,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0,0,0.30059,-2.59999,1.56147,0.0,1.0,0.0,0.0,0.0,0.0
tauqgxq1so8g52q8v9_0014,0.7407407407407407,20,27	1.46799,-1.90751,-0.47729,0.07554,-0.38851,-0.60193,0.61882,0.16625,0.77494,0.88675,72.6875,118.0,116.27329,245.96273,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.74074,0,0,0.40104,-3.01999,1.35038,0.0,1.0,0.0,0.0,0.0,0.0
3nlyl45k05jngszfze5_0014,0.7407407407407407,20,27	1.46799,-1.90751,-5.14028,-0.00604,-0.3937,-1.17062,0.59833,0.16808,0.87234,0.62699,88.8359,117.83217,124.28023,241.90957,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.74074,0,0,0.34947,-4.27999,1.16546,0.0,0.0,0.0,0.0,0.0,0.0
lg3ld3ee1vkp47l25g_0009,0.7037037037037037,19,27	1.46799,-1.90751,-5.09007,0.16785,-0.40307,-0.9427,0.57969,0.12776,0.80416,0.59199,74.76161,127.37932,236.30804,301.69722,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.70370,0,0,3.30751,-4.87999,0.333,0.0,0.0,0.0,0.0,0.0,0.0
2ho4nizbhb7zssgujfg_0007,0.6785714285714286,19,28	1.46799,-1.90751,-1.57006,0.13388,-0.46982,0.27553,0.42958,0.17094,0.67666,0.74144,79.8125,124.15437,187.82608,123.7892,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.67857,0,0,0.64065,-4.67999,0.93058,0.0,1.0,0.0,0.0,0.0,0.0
xaggrr9pi08uhm3hhm_0014,0.6666666666666666,18,27	1.46799,-1.90751,-1.69162,0.23694,-0.71822,-0.73345,0.33414,0.20914,0.68901,0.86233,78.58661,129.72595,239.4571,230.69905,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.66666,0,0,0.25489,-1.88,1.14501,0.0,0.0,1.0,0.0,0.0,0.0
xaggrr9pi08uhm3hhm_0003,0.6428571428571429,18,28	1.46799,-1.90751,-2.46903,0.0517,-0.2251,-0.73345,0.59246,0.07576,0.82418,0.72847,89.69304,120.09704,125.59682,235.82474,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.64285,0,0,0.16835,-2.55999,1.71722,0.0,0.0,1.0,2.0,0.0,0.0
t7ln588z6wv95dlwl_0017,0.6428571428571429,18,28	1.46799,-1.90751,-1.90133,0.28398,-0.78446,0.13387,0.527,0.11102,0.6837,0.61538,78.7705,132.57172,301.89786,116.61184,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.64285,0,0,1.76241,-2.47999,0.4577,0.0,0.0,0.0,0.0,0.0,0.0
82djwfukazh18julqa6_0002,0.6296296296296297,17,27	1.46799,-1.90751,-3.5052,0.16547,-0.32376,-0.74727,0.18051,0.1613,0.85474,0.61091,71.34375,137.84375,240.61224,187.34693,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.62962,0,0,0.92112,-4.41999,0.53239,0.0,1.0,0.0,0.0,0.0,0.0
