3f1j64kvmhsebjv9bs3_0009,0.8,84,105	-0.27341,0.18994,0.66879,0.79758,-0.27464,1.32781,0.12895,0.11046,0.3036,0.30121,89.04821,54.76104,158.13327,66.51484,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0.49731,0.0,0.75561,0.0,0.0,1.0,1.0,0.0,0.0
3f1j64kvmhsebjv9bs3_0060,0.8,28,35	-0.27341,0.18994,0.00179,1.00379,-1.32238,1.97233,0.20511,0.26593,0.28456,0.27142,102.67915,47.38484,157.52413,292.99948,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,1.59593,0.0,0.36542,0.0,0.0,1.0,0.0,0.0,0.0
38tavw30n7qgenkxtlc_0013,0.8,28,35	-0.27341,0.18994,-0.10576,0.99154,0.01013,1.43329,0.24374,0.11643,0.29413,0.25821,102.50995,55.55714,204.3813,286.77966,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,1.63464,0.0,0.37278,0.0,1.0,0.0,0.0,0.0,0.0
xbf71uvj4036522d922_0006,0.7837837837837838,29,37	-0.27341,0.18994,0.02615,1.68223,-0.1582,0.85336,0.17637,0.11239,0.30307,0.3086,96.61117,49.83149,152.65312,109.12104,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.78378,0,0,1.16829,0.0,0.36266,0.0,1.0,1.0,1.0,0.0,0.0
xbf71uvj4036522d922_0014,0.7837837837837838,29,37	-0.27341,0.18994,-0.67347,1.28828,1.04149,0.85336,0.17637,0.11239,0.30307,0.3086,96.61117,49.83149,152.65312,109.12104,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.78378,0,0,0.30516,0.0,0.75601,0.0,1.0,0.0,0.0,0.0,0.0
xbf71uvj4036522d922_0017,0.7837837837837838,29,37	-0.27341,0.18994,-0.21976,1.28828,1.04149,0.49963,0.17637,0.11239,0.30307,0.3086,96.61117,49.83149,152.65312,109.12104,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.78378,0,0,1.05096,0.0,0.40777,0.0,1.0,1.0,0.0,0.0,0.0
xbf71uvj4036522d922_0011,0.7777777777777778,28,36	-0.27341,0.18994,0.21976,1.28828,1.04149,0.49963,0.17637,0.11239,0.30307,0.3086,96.61117,49.83149,152.65312,109.12104,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.77777,0,0,1.05096,0.0,0.40777,0.0,1.0,1.0,1.0,0.0,0.0
xs6z6lshsl73lfyrd0c_0123,0.7777777777777778,28,36	-0.27341,0.18994,-0.63049,0.63378,0.75623,1.30352,0.28939,0.28697,0.2874,0.34569,104.65195,59.74508,334.13387,112.55701,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.77777,0,0,0.73389,0.0,0.73328,0.0,0.0,1.0,0.0,0.0,0.0
xs6z6lshsl73lfyrd0c_0120,0.7714285714285715,27,35	-0.27341,0.18994,0.20972,-0.45018,-1.42014,-1.53679,0.24993,0.28479,0.24625,0.30107,105.2728,48.85502,153.73585,104.4442,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.77142,0,0,1.61374,-0.02,0.38088,0.0,0.0,1.0,0.0,0.0,0.0
3dtrw0bxd545bi3y5l2_0034,0.7714285714285715,27,35	-0.27341,0.18994,0.07266,1.33847,-1.48958,0.45975,0.12933,0.15048,0.32546,0.28063,92.93137,61.5313,21.76164,107.45001,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.77142,0,0,0.95692,0.0,0.37697,0.0,0.0,1.0,0.0,0.0,0.0
1abf7wvqqvzvybi3pi9h_0083,0.7692307692307693,30,39	-0.27341,0.18994,0.22933,0.52237,-0.82148,-0.32123,0.28565,0.12997,0.33014,0.33173,90.83791,63.87524,338.78588,70.19163,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.76923,0,0,1.73123,0.0,0.4077,0.0,0.0,1.0,0.0,0.0,0.0
xbf71uvj4036522d922_0007,0.7619047619047619,80,105	-0.27341,0.18994,0.74436,1.28828,1.04149,0.49963,0.17637,0.11239,0.30307,0.3086,96.61117,49.83149,152.65312,109.12104,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.76190,0,0,0.25949,0.0,0.8198,0.0,1.0,1.0,1.0,0.0,0.0
