snap,moi_1_id,moi_2_id,merger_snap,p_acceleration,xy_projection,p_face_projection,s_face_projection,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad
55,50000000288610,67000000354839,51,13.656441403564845,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/313099/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/313099/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/313100/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,55000000313099,55000000313100,81.92648,6.5291753,[25884.562   3857.7063 32655.383 ],[25899.396  3850.089 32711.105],[-130.18483   291.48932   100.575806],[-64.058495 481.58688   44.277332],[-2651.311     489.57648   745.74304],[ -32.668278  -97.82487  -262.9781  ],82.05706,10.51884
56,50000000288610,67000000354839,51,14.388284379735765,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/316618/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/316618/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/316619/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,56000000316618,56000000316619,83.072235,6.477684,[25857.88    3885.4153 32680.744 ],[25886.773  3925.529 32712.883],[-126.7624   299.90994  110.76788],[-101.36126   451.3051    -19.060944],[-2628.2742    496.73828   706.8368 ],[ -39.370438 -123.565994 -262.15952 ],78.923744,10.078767
57,50000000288610,67000000354839,51,16.44815365182891,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/324650/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/324650/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/324651/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,57000000324650,57000000324651,79.2894,8.777141,[25829.855   3936.0579 32723.293 ],[25859.31    4012.9229 32712.19  ],[-124.191765  309.94086   120.757645],[-155.96123   379.65082     4.030878],[-2578.1235    454.40128   606.03284],[ -65.46708 -185.48857 -279.72437],85.05561,12.564801
58,50000000288610,67000000354839,51,70.53662959868274,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/325909/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/325909/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/325910/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,58000000325909,58000000325910,78.90672,9.482617,[25810.828   3985.1846 32753.291 ],[25832.27    4071.7393 32718.533 ],[-124.82608   326.29523   122.392876],[-180.97299  345.3868    58.13401],[-2603.7166   459.6062   728.5059],[ -62.596043 -183.6674   -248.83691 ],89.0457,13.43436
59,50000000288610,67000000354839,51,54.55792010961687,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/329127/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/329127/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/329128/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,59000000329127,59000000329128,82.915695,11.376808,[25795.508   4141.5107 32741.883 ],[25787.361   4063.3708 32787.758 ],[-125.22734   319.048     107.390465],[-102.058395  389.3387    144.36029 ],[-2627.5403    584.03156   564.9391 ],[-128.72206   -25.376024   73.200714],95.407555,10.0253
60,50000000288610,67000000354839,51,5.690031357991199,https://www.tng-project.org/api/TNG50-1/snapshots/60/subhalos/332215/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/60/subhalos/332215/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/60/subhalos/332216/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,60000000332215,60000000332216,88.52856,9.021466,[25771.766   4129.9106 32808.895 ],[25771.936  4186.729 32762.273],[-115.19779   345.77048   114.264915],[-144.66663  254.46558  132.00175],[-2715.7961   546.7727   518.7765],[ -41.83025  -69.48121 -199.46129],95.95511,10.617263
61,50000000288610,67000000354839,51,8.015536069235061,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/334391/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/334391/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/334392/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,61000000334391,61000000334392,97.71078,4.2945786,[25750.133   4227.7827 32826.64  ],[25742.922   4235.3813 32796.445 ],[-115.73618   342.40717   109.706985],[-125.4497   204.95512  205.64778],[-2672.3516    515.99      484.61456],[   4.677286  -69.697334 -128.98752 ],89.40792,4.5260873
62,50000000288610,67000000354839,51,8.505664690520979,https://www.tng-project.org/api/TNG50-1/snapshots/62/subhalos/338866/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/62/subhalos/338866/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/62/subhalos/338867/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,62000000338866,62000000338867,100.57034,3.1097744,[25726.635   4294.6343 32821.61  ],[25728.459   4280.2583 32839.594 ],[-117.74591  334.65454  109.38045],[-61.80127 394.41766 249.6465 ],[-2678.3752    518.51215   473.54425],[  1.050945 -46.98149  -96.14496 ],86.10351,2.462175
63,50000000288610,67000000354839,51,7.6667359365181085,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/336934/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/336934/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/336935/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,63000000336934,63000000336935,101.13028,3.9264016,[25702.344   4342.5864 32833.12  ],[25712.652  4346.569 32865.066],[-114.33232   334.85077   117.168594],[-122.85442  403.68988   83.39604],[-2652.3735    367.92822   559.347  ],[-19.394997 -40.796955 -78.30045 ],87.115074,3.4489179
64,50000000288610,67000000354839,51,1.1931761305218314,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/338830/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/338830/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/338832/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,64000000338830,64000000338832,102.86184,2.4034393,[25683.838  4394.662 32862.78 ],[25688.592   4406.3486 32869.633 ],[-112.08485  340.82355  121.41755],[-179.62762   300.4301    -33.618866],[-2604.667     245.80522   620.15125],[-17.056635 -43.815582 -77.06215 ],85.95464,1.8317351
