moi_2,snap,merger_snap,p_moi_1,s_moi_1,xy_projection,p_face_projection,s_face_projection,p_SubhaloID,s_SubhaloID,p_NextProgenitorID,s_NextProgenitorID,p_MainLeafProgenitorID,s_MainLeafProgenitorID,p_FirstProgenitorID,s_FirstProgenitorID,p_SubhaloGrNr,s_SubhaloGrNr,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_RootDescendantID,s_RootDescendantID,p_SnapNum,s_SnapNum,p_DescendantID,s_DescendantID,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,p_SubhaloCM,s_SubhaloCM
55000000046171,34,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/34/subhalos/143875/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/34/subhalos/143875/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/34/subhalos/198790/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207914,25273142,25225357,25292531,25207948,25273175,25207915,25273143,117,257,34000000143875,34000000198790,59.138905,38.49381,25207849,25207849,34,34,25207913,25273141,[25230.633 14031.798  3802.078],[25582.021 14396.547  3793.602],[-120.48127   73.1108   -91.54188],[-200.45619  -145.44093   -44.730343],[222.20023  -98.188705 -38.75469 ],[-7.52568176e+02 -7.23351061e-01 -1.01831985e+02],64.08997,64.01527,[25222.047  14039.348   3803.2827],[25576.42   14399.383   3791.6282]
55000000046171,35,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/35/subhalos/154573/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/35/subhalos/154573/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/35/subhalos/210394/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207913,25273141,25233801,25293081,25207948,25273175,25207914,25273142,119,260,35000000154573,35000000210394,62.541435,38.429787,25207849,25207849,35,35,25207912,25273140,[25194.773  14056.425   3774.8303],[25524.098  14354.154   3778.2295],[-124.70106    80.5814    -96.960365],[-214.07819 -153.20946  -47.31977],[ 239.71861  -128.78004   -28.992666],[-742.23486   -15.318463 -133.5966  ],75.774185,59.91872,[25189.082 14059.866  3775.59 ],[25517.152  14355.114   3778.7266]
55000000046171,36,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/36/subhalos/128894/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/36/subhalos/128894/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/36/subhalos/128895/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207912,25273140,25235608,25293627,25207948,25273175,25207913,25273141,63,63,36000000128894,36000000128895,69.0211,29.032686,25207849,25207849,36,36,25207911,25273139,[25160.938  14082.295   3746.3184],[25459.246 14306.743  3761.586],[-131.96507   80.4356  -100.88998],[-233.90605 -160.90791  -47.14743],[ 301.02396 -220.50525 -302.54843],[-600.6182     44.17714   -81.766525],85.49948,41.735924,[25162.469 14091.464  3748.985],[25457.006  14309.903   3762.9795]
55000000046171,37,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/37/subhalos/136833/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/37/subhalos/136833/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/37/subhalos/136834/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207911,25273139,25237483,25294034,25207948,25273175,25207912,25273140,62,62,37000000136833,37000000136834,75.63208,25.437038,25207849,25207849,37,37,25207910,25273138,[25123.543  14108.922   3715.7515],[25385.557  14257.39    3743.9136],[-130.31999    80.836655 -102.615074],[-258.86365  -170.61426   -53.294716],[ 287.48    -448.67825 -467.62146],[-551.69995    21.445185  -92.65062 ],94.50831,36.32666,[25122.893  14116.688   3716.5515],[25384.94   14259.692   3747.8372]
55000000046171,38,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/38/subhalos/144528/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/38/subhalos/144528/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/38/subhalos/144529/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207910,25273138,25238913,25294069,25207948,25273175,25207911,25273139,61,61,38000000144528,38000000144529,81.66373,23.104849,25207849,25207849,38,38,25207909,25273137,[25091.098  14131.561   3689.1816],[25317.193  14213.729   3728.3286],[-127.21567   82.06062 -104.00969],[-290.4813   -179.99094   -61.829304],[ 318.6441 -646.7211 -543.5639],[-519.3979    28.20412  -92.96339],100.71565,32.29877,[25091.457  14136.431   3689.6494],[25316.566  14215.595   3732.5625]
55000000046171,39,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/39/subhalos/148657/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/39/subhalos/148657/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/39/subhalos/148658/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207909,25273137,25240999,25294202,25207948,25273175,25207910,25273138,59,59,39000000148657,39000000148658,92.98347,15.564719,25207849,25207849,39,39,25207908,25273136,[25053.486  14161.397   3655.2593],[25222.494  14159.864   3707.4993],[-125.89648   72.84567 -103.27779],[-347.23837 -186.29814  -77.38542],[  551.7902   -862.34076 -1174.8339 ],[-349.4613    41.87694  -61.62112],109.24988,19.038408,[25061.346  14158.857   3659.9858],[25222.299  14159.266   3708.1858]
55000000046171,40,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/40/subhalos/149622/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/40/subhalos/149622/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/40/subhalos/149623/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207908,25273136,25242380,25294240,25207948,25273175,25207909,25273137,60,60,40000000149622,40000000149623,94.30758,15.249038,25207849,25207849,40,40,25207907,25273135,[25037.176  14176.517   3638.6343],[25167.377  14133.014   3694.4102],[-120.811905   71.58001  -101.86958 ],[-383.417   -175.40315  -94.06279],[  642.7625   -733.75476 -1277.3159 ],[-337.27646    49.733288  -75.61994 ],106.08996,17.761349,[25042.969 14167.872  3646.52 ],[25167.08   14132.931   3694.8904]
55000000046171,41,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/41/subhalos/162241/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/41/subhalos/162241/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/41/subhalos/162242/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207907,25273135,25245828,-1,25207948,25273175,25207908,25273136,61,61,41000000162241,41000000162242,109.214554,13.535569,25207849,25207849,41,41,25207906,25273134,[25004.21  14198.759  3605.195],[25018.55   14088.096   3651.4338],[-139.1147     29.312405  -93.1304  ],[-436.9794    -68.031265 -159.63754 ],[  776.3763 -1100.0399 -2178.4465],[-304.12122   78.41041 -109.52302],103.83125,13.929719,[24999.893 14175.255  3612.097],[25019.959  14088.533   3651.7544]
55000000046171,42,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/42/subhalos/165199/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/42/subhalos/165199/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/42/subhalos/165200/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207906,25273134,25248621,-1,25207948,25273175,25207907,25273135,56,56,42000000165199,42000000165200,117.2146,13.44772,25207849,25207849,42,42,25207905,25273133,[24982.127 14193.037  3582.56 ],[24911.434  14084.806   3606.3132],[-155.12018      9.8194895  -85.94854  ],[-399.98035   32.93368 -194.97093],[  749.5511 -1069.6323 -2330.2314],[-284.33652   78.93714 -121.06694],98.298515,13.940444,[24958.91   14174.855   3586.9958],[24912.688  14084.138   3606.8013]
55000000046171,43,55,40000000149622,40000000149623,https://www.tng-project.org/api/TNG50-1/snapshots/43/subhalos/169905/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/43/subhalos/169905/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/43/subhalos/169906/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,25207905,25273133,25251530,-1,25207948,25273175,25207906,25273134,58,58,43000000169905,43000000169906,120.09648,13.263584,25207849,25207849,43,43,25207904,25273132,[24954.1    14183.237   3569.1428],[24820.152  14100.774   3556.6665],[-178.47394      4.1563315  -84.393234 ],[-324.45795    89.757576 -195.55411 ],[  775.11035 -1021.2474  -2368.3044 ],[-266.74707   52.39579 -132.937  ],103.63808,13.290764,[24912.725 14173.381  3563.926],[24820.18   14100.133   3557.4155]
