moi_SubhaloIDRaw,snapnum,p_acceleration,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,merger_snap,xy_projection,p_face_projection,s_face_projection
67000000353206,52,4.136055296488699,52000000360900,52000000360902,38.932827,0.5116243,[16789.918  4290.115  8946.127],[16817.97   4282.982  8953.707],[ 166.93399  -45.07095 -139.70177],[269.12598  -92.83968  -48.670853],[ -114.84677  -1049.2548     -87.536415],[ 8.908444   1.2341717 -6.648179 ],43.798607,1.827916,63,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/360900/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/360900/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/360902/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,53,6.039814621318919,53000000310085,53000000310088,41.472466,0.6565086,[16821.201   4283.7314  8912.929 ],[16859.9     4268.8604  8933.628 ],[ 170.03656   -42.763966 -138.23247 ],[ 137.91095   -42.329277 -127.021194],[   64.558105 -1083.9525     279.57465 ],[17.56814   -8.67777    5.5914917],54.076653,2.6857238,63,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/310085/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/310085/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/310088/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,54,4.125491561093217,54000000316945,54000000316947,42.4472,0.84388995,[16864.73   4272.46   8886.766],[16877.48   4263.263  8900.723],[ 176.02118  -42.57971 -137.4389 ],[  59.39273      1.3868451 -195.73993  ],[   46.554356 -1157.0278     278.12115 ],[27.250137  -4.8923187 23.107098 ],57.977165,2.851248,63,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/316945/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/316945/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/54/subhalos/316947/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,55,4.2672659148981,55000000322086,55000000322089,44.16957,0.24994919,[16904.986  4259.417  8860.011],[16906.441   4261.0024  8857.836 ],[ 177.77017   -40.280457 -140.3841  ],[ 193.27666  -103.314575  -39.526733],[   32.83842 -1195.0049    232.6547 ],[ 4.636916  -4.3015566  4.2601695],60.128056,0.47841352,63,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/322086/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/322086/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/55/subhalos/322089/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,56,4.807382234343602,56000000328918,56000000328924,45.03231,0.042508382,[16938.51    4251.4707  8838.53  ],[16955.498   4252.9824  8838.548 ],[ 181.98016   -39.621063 -140.15886 ],[ 131.60902 -147.4537    61.03225],[   47.68164 -1170.1351    274.2298 ],[ 5.414131 -7.972692 -4.520793],60.804855,1.5137302,63,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/328918/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/328918/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/56/subhalos/328924/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,57,5.130557229321183,57000000330583,57000000330590,46.33067,0.058418352,[16978.838   4241.2935  8809.654 ],[16964.799   4243.0303  8801.2705],[ 186.39131   -38.656925 -138.50867 ],[ 259.7669     43.498802 -266.1221  ],[   85.998184 -1237.615      305.5309  ],[ -3.6159234 -16.926779  -12.18621  ],62.452282,1.769537,63,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/330583/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/330583/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/57/subhalos/330590/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,58,6.289587991292164,58000000331274,58000000331389,46.714188,0.005995867,[17011.309   4235.7275  8786.368 ],[16942.107   4245.7134  8822.197 ],[ 191.30676  -37.19874 -138.69481],[ 320.09763   -95.201096 -229.87569 ],[  109.287415 -1247.3776     288.79532 ],[0.00561972 0.4376028  0.4784383 ],60.4693,1.9203115,63,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/331274/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/331274/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/58/subhalos/331389/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,59,7.536198895911592,59000000335661,59000000335668,47.71231,0.04015786,[17055.537   4228.1816  8756.782 ],[17039.008   4224.3765  8759.439 ],[ 196.53694   -36.294674 -135.32037 ],[ 157.18726   -48.620193 -315.40466 ],[  136.36992 -1294.5612    313.86768],[ 3.420643  -3.0275264  2.2814734],57.689125,1.3718091,63,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/335661/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/335661/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/59/subhalos/335668/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,60,17.471718775262232,60000000333382,60000000333391,49.215572,0.031181442,[17091.734  4221.779  8735.061],[17083.477  4222.428  8715.899],[ 198.4713   -35.75178 -128.05692],[ 363.14963    10.172883 -174.53795 ],[  176.15096 -1328.1644    442.54968],[ 4.8461804  -7.773061    0.94901437],55.259712,1.7368741,63,https://www.tng-project.org/api/TNG50-1/snapshots/60/subhalos/333382/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/60/subhalos/333382/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/60/subhalos/333391/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000353206,61,13.708444106864823,61000000336479,61000000336485,50.332897,0.070018984,[17141.875   4211.9663  8713.397 ],[17118.584  4206.174  8723.716],[ 201.5472    -23.191895 -116.30749 ],[ 158.12466    14.469209 -211.36766 ],[   18.974499 -1278.7899     424.76453 ],[ -8.456844 -18.686783  -5.163234],54.726215,1.8872536,63,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/336479/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/336479/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/336485/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
