# moi_2 moi_1 
99000000000002 67000000285388
99000000000019 67000000521654
99000000096765 67000000424745
99000000117255 67000000365040
99000000117255 67000000365042
99000000117263 67000000506299
99000000143881 67000000261417
99000000143885 67000000153307
99000000143886 67000000153309
99000000143886 67000000153313
99000000143890 67000000519227
99000000167392 67000000131717
99000000167394 67000000295828
99000000167394 67000000295829
99000000167399 67000000131718
99000000184932 67000000323513
99000000208812 67000000363215
99000000220601 67000000241012
99000000229933 67000000146970
99000000229933 67000000146972
99000000242788 67000000216072
99000000242789 67000000225712
99000000242789 67000000225713
99000000242791 67000000225714
99000000264886 67000000345761
99000000275545 67000000160813
99000000275545 67000000160815
99000000282779 67000000190043
99000000294867 67000000435040
99000000300903 67000000184179
99000000300903 67000000184180
99000000300903 67000000184182
99000000300903 67000000184183
99000000324123 67000000218606
99000000324123 67000000218607
99000000324124 67000000280993
99000000329508 67000000211992
99000000333425 67000000391637
99000000342447 67000000367142
99000000352426 67000000234935
99000000352426 67000000234936
99000000355724 67000000282211
99000000355725 67000000329197
99000000358608 67000000269552
99000000360923 67000000244815
99000000360924 67000000516984
99000000371126 67000000242560
99000000371126 67000000242561
99000000372754 67000000274916
99000000372755 67000000396987
99000000377656 67000000277959
99000000382215 67000000271076
99000000383976 67000000445246
99000000383976 67000000447266
99000000388544 67000000307256
99000000392278 67000000445393
99000000396628 67000000314577
99000000398784 67000000276422
99000000400973 67000000287780
99000000400973 67000000287781
99000000402556 67000000447047
99000000408534 67000000293092
99000000410037 67000000292102
99000000418335 67000000296868
99000000418335 67000000296870
99000000419618 67000000316152
99000000422755 67000000498432
99000000424288 67000000330081
99000000427211 67000000302085
99000000430865 67000000436238
99000000432106 67000000308503
99000000434356 67000000337656
99000000434356 67000000337657
99000000434357 67000000512642
99000000435752 67000000321039
99000000435752 67000000321040
99000000438148 67000000299414
99000000438148 67000000299415
99000000440407 67000000361836
99000000440407 67000000361837
99000000440408 67000000438729
99000000441709 67000000374765
99000000441709 67000000423209
99000000446666 67000000342045
99000000448830 67000000297999
99000000449658 67000000359921
99000000452978 67000000356635
99000000455291 67000000409596
99000000456327 67000000474796
99000000460722 67000000350284
99000000464163 67000000325904
99000000464163 67000000325905
99000000469488 67000000327094
99000000471996 67000000376070
99000000474008 67000000353206
99000000477328 67000000389081
99000000479290 67000000363906
99000000479938 67000000385766
99000000480802 67000000348011
99000000482889 67000000351283
99000000484448 67000000355453
99000000486046 67000000402361
99000000486046 67000000462591
99000000487743 67000000400274
99000000488530 67000000377799
99000000489206 67000000369178
99000000491426 67000000373825
99000000493433 67000000373217
99000000493433 67000000373218
99000000494011 67000000378394
99000000497557 67000000421627
99000000499021 67000000443111
99000000499704 67000000399353
99000000499704 67000000399354
99000000500576 67000000440536
99000000503987 67000000393423
99000000505100 67000000404128
99000000505100 67000000404129
99000000505101 67000000484783
99000000506720 67000000384936
99000000507292 67000000415897
99000000509091 67000000412331
99000000510273 67000000386589
99000000510585 67000000421199
99000000519721 67000000443678
99000000522983 67000000406810
99000000522983 67000000406811
99000000523548 67000000381323
99000000525002 67000000459478
99000000525002 67000000481640
99000000525533 67000000405304
99000000526478 67000000396305
99000000526879 67000000465124
99000000526880 67000000484567
99000000527839 67000000429589
99000000528322 67000000423574
99000000528322 67000000423575
99000000531910 67000000414327
99000000532301 67000000413570
99000000532301 67000000413571
99000000533998 67000000491550
99000000536147 67000000519800
99000000538370 67000000411599
99000000540452 67000000441808
99000000540920 67000000399865
99000000544697 67000000422759
99000000545004 67000000514475
99000000545437 67000000417693
99000000546114 67000000416299
99000000546474 67000000428958
99000000550149 67000000423982
99000000550475 67000000433484
99000000550934 67000000424348
99000000552581 67000000427901
99000000558410 67000000426538
99000000559036 67000000449562
99000000559712 67000000522703
99000000560082 67000000446735
99000000560421 67000000471346
99000000561325 67000000443998
99000000564268 67000000464081
99000000565251 67000000441134
99000000565947 67000000479990
99000000569653 67000000444945
99000000570841 67000000448785
99000000571633 67000000462087
99000000572457 67000000511452
99000000573062 67000000463802
99000000573738 67000000493336
99000000575863 67000000459245
99000000578294 67000000489908
99000000579232 67000000462756
99000000579509 67000000469424
99000000579759 67000000476450
99000000582137 67000000480833
99000000584724 67000000472438
99000000586066 67000000476656
99000000586670 67000000464803
99000000587256 67000000506955
99000000587500 67000000467140
99000000590385 67000000492045
99000000592840 67000000456491
99000000594556 67000000485083
99000000594731 67000000483109
99000000596986 67000000482532
99000000597311 67000000500228
99000000598112 67000000489023
99000000598840 67000000471646
99000000599865 67000000488251
99000000601123 67000000491964
99000000601693 67000000485357
99000000601997 67000000487422
99000000602330 67000000480204
99000000603826 67000000523597
99000000604371 67000000495260
99000000605279 67000000503861
99000000606405 67000000486798
99000000606820 67000000486254
99000000609891 67000000495543
99000000611152 67000000499549
99000000611385 67000000500545
99000000613209 67000000495789
99000000615607 67000000505694
99000000616825 67000000506009
99000000619381 67000000507560
99000000620348 67000000503549
99000000621167 67000000501261
99000000622298 67000000519140
99000000622751 67000000506399
99000000623122 67000000510751
99000000623456 67000000498214
99000000624756 67000000506693
99000000626408 67000000508867
99000000626697 67000000511593
99000000627572 67000000512912
99000000628717 67000000507703
99000000630155 67000000516766
99000000630870 67000000513317
99000000631677 67000000524596
99000000633843 67000000526774
99000000633963 67000000519328
99000000635905 67000000477343
99000000636201 67000000508235
99000000636640 67000000520068
99000000637695 67000000529772
99000000638374 67000000528728
99000000639991 67000000519492
99000000641964 67000000536490
99000000645517 67000000515098
