moi_SubhaloIDRaw,snapnum,p_acceleration,p_SubhaloIDRaw,s_SubhaloIDRaw,p_SubhaloMass,s_SubhaloMass,p_SubhaloPos,s_SubhaloPos,p_SubhaloVel,s_SubhaloVel,p_SubhaloSpin,s_SubhaloSpin,p_SubhaloHalfmassRad,s_SubhaloHalfmassRad,merger_snap,xy_projection,p_face_projection,s_face_projection
67000000343517,61,1.621532546656623,61000000321892,61000000321962,126.64983,0.012878707,[ 3345.8105  2002.5115 24872.727 ],[ 3515.6924  1841.3083 24886.727 ],[55.50547  -8.33169  -7.872318],[-124.54455   168.43748   -20.884253],[-221.87218 1183.5698   570.05334],[ 0.7927994  1.3010093 -2.9171102],76.35392,3.8428295,53,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/321892/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/321892/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/61/subhalos/321962/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000343517,62,1.5850516484592672,62000000326960,62000000327041,128.66223,0.010911554,[ 3356.784   2001.9043 24871.543 ],[ 3493.7666  1870.0953 24882.574 ],[54.960587  -8.380267  -9.3987875],[-148.10736   187.91275   -25.288479],[-208.34146 1162.4384   599.7553 ],[ 0.49684858  0.72084624 -1.8572499 ],74.63082,2.924961,53,https://www.tng-project.org/api/TNG50-1/snapshots/62/subhalos/326960/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/62/subhalos/326960/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/62/subhalos/327041/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000343517,63,1.7159146470881947,63000000329371,63000000329378,131.27048,0.049510915,[ 3366.9265  2001.8354 24869.941 ],[ 3383.5874  2002.4443 24874.7   ],[ 53.695137   -8.04581   -10.2927475],[  58.615032  161.48418  -196.01508 ],[-180.22264 1183.3513   578.9561 ],[-1.9909302 10.091405   4.5295496],74.01892,1.3130292,53,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/329371/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/329371/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/63/subhalos/329378/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000343517,64,2.8049113536897585,64000000331766,64000000331775,133.41928,0.036434684,[ 3377.328   2001.3083 24868.941 ],[ 3363.7888  1996.2798 24869.377 ],[ 52.423306  -7.752067 -11.406535],[ 125.95776 -166.08183  173.65327],[-165.83556 1190.2544   584.7078 ],[-2.1024275  6.454065   6.1291842],73.97401,0.97353715,53,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/331766/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/331766/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/64/subhalos/331775/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000343517,65,2.538658391221222,65000000337931,65000000338062,135.70023,0.005378935,[ 3389.6152  1999.5992 24866.916 ],[ 3451.9673  1871.1587 24828.477 ],[ 49.77393   -7.445154 -12.274947],[-94.50702  267.12137  104.540504],[-218.46965 1192.1387   536.67145],[ 0.21665287  0.4051204  -0.21471755],73.93579,1.9430344,53,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/337931/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/337931/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/65/subhalos/338062/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000343517,66,1.1401210923412006,66000000340891,66000000340897,136.34106,0.05338192,[ 3396.2012  1997.2544 24865.32  ],[ 3398.269   1988.8135 24873.69  ],[ 47.478592  -8.452399 -12.677028],[342.55344    72.602905    5.0292993],[-223.69928 1232.3229   582.95215],[-1.5145904  9.960473  12.663855 ],75.1461,1.0483773,53,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/340891/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/340891/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/66/subhalos/340897/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000354839,50,21.364363226066537,50000000288610,50000000288611,58.4379,15.473597,[26071.586   3631.5864 32610.18  ],[25977.512   3408.5632 32560.29  ],[-143.80989   273.60614    53.055004],[-80.87493 348.13025 177.42621],[-2369.0132    303.64838   895.635  ],[ 133.38014 -192.78532 -453.70584],92.30574,33.14164,53,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/288610/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/288610/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/50/subhalos/288611/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000354839,51,7.680114292474873,51000000295535,51000000295536,52.854507,18.253893,[26026.713   3695.8108 32614.871 ],[25952.994   3515.9717 32604.877 ],[-156.88304  259.55325   43.67177],[-68.238434 368.95917  171.85324 ],[-1726.3837      13.249991   933.3956  ],[ 112.41956 -213.66866 -475.40054],78.9258,32.1545,53,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/295535/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/295535/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/51/subhalos/295536/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000354839,52,10.855867346111918,52000000301835,52000000301836,53.076946,17.728771,[25999.484   3732.6042 32618.725 ],[25946.13    3573.7625 32633.166 ],[-161.75198  254.49516   46.78517],[-63.9131  382.90677 165.2953 ],[-1656.4443      13.696441   920.7293  ],[  95.90801 -201.20737 -440.79855],78.43555,32.534115,53,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/301835/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/301835/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/52/subhalos/301836/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
67000000354839,53,38.894496540648724,53000000302017,53000000302018,56.19685,16.551306,[25962.252  3779.236 32625.592],[25930.568   3656.4133 32666.03  ],[-162.8959    249.55397    56.383396],[-61.671547 411.57523  149.4885  ],[-1814.7426    140.21146   912.06024],[  51.47477 -137.67833 -370.00388],81.96613,26.64918,53,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/302017/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&nPixels=256%2C256&axes=0%2C1&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/302017/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged,https://www.tng-project.org/api/TNG50-1/snapshots/53/subhalos/302018/vis.png?partType=stars&partField=stellarComp-jwst_f200w-jwst_f115w-jwst_f070w&size=1&method=histo&rotation=face-on&plotStyle=edged
